rho,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
Scalar,1,36.98136317,36.78155943,394.2823191,45.61623833,90.62058799,90.67126329
,2,35.4276388,34.92591109,73.92793431,192.5152207,52.07814321,52.75681458
,3,13.40619924,13.29560911,21.80515282,583.1177486,38.51820553,39.02537984
,4,7.780274449,7.70569752,10.33020778,1502.758188,24.68424052,25.40617109
,5,5.470989857,5.407115056,6.441880397,3416.521119,15.07153938,16.06309459
,6,3.868593392,3.802764315,4.407667252,7122.250012,12.23036653,13.72387939
Diagonal,1,36.98137496,36.78157233,,45.78607552,,
,2,80.68691879,79.85782286,,205.8592158,,
,3,5.957431262,5.702623376,,625.9935632,,
,4,0.314923173,0.216539258,,1748.937156,,
,5,0.115506231,0.027030142,,2919.713744,,
,6,0.100768694,0.003984398,,6655.027301,,
