t,K,tau
0.009999999999999995,1.0,594.3829876357705
0.012499999999999995,1.0,731.5481080557034
0.014999999999999994,1.0,1003.0219769984737
0.01999999999999999,1.0,1783.1505707914396
0.01749999999999999,1.0,1365.2212539285665
0.01999999999999999,1.0,1783.1505707914396
0.009999999999999995,2.0,111.44688114321188
0.012499999999999995,2.0,125.37614437517988
0.014999999999999994,2.0,264.16563297475216
0.01999999999999999,2.0,1783.148192815417
0.01749999999999999,2.0,767.9344063608968
0.01999999999999999,2.0,1783.148192815417
0.009999999999999995,3.0,49.531936624317595
0.012499999999999995,3.0,49.53195064917146
0.014999999999999994,3.0,62.69250060975872
0.01999999999999999,3.0,1783.1258434522028
0.01749999999999999,3.0,431.96097350489407
0.01999999999999999,3.0,1783.1258434522028
0.009999999999999995,4.0,27.86169449671767
0.012499999999999995,4.0,27.86172145107916
0.014999999999999994,4.0,27.861752311567802
0.01999999999999999,4.0,1782.9722149859638
0.01749999999999999,4.0,242.96419187937695
0.01999999999999999,4.0,1782.9722149859638
0.009999999999999995,5.0,17.831495351041244
0.012499999999999995,5.0,17.831503700396116
0.014999999999999994,5.0,17.83150494189822
0.01999999999999999,5.0,1783.037104598519
0.01749999999999999,5.0,136.67339758854206
0.01999999999999999,5.0,1783.037104598519
0.009999999999999995,6.0,12.3829872439463
0.012499999999999995,6.0,12.382981840944144
0.014999999999999994,6.0,12.382989146218584
0.01999999999999999,6.0,1783.1154504346264
0.01749999999999999,6.0,76.87416431949426
0.01999999999999999,6.0,1783.1154504346264
0.009999999999999995,7.0,9.097703699183764
0.012499999999999995,7.0,9.097705838771988
0.014999999999999994,7.0,9.097706818119033
0.01999999999999999,7.0,1783.0248008857127
0.01749999999999999,7.0,42.488137830925666
0.01999999999999999,7.0,1783.0248008857127
0.009999999999999995,8.0,6.9654286882386796
0.012499999999999995,8.0,6.965431888571236
0.014999999999999994,8.0,6.96543083378702
0.01999999999999999,8.0,1783.1185621495845
0.01749999999999999,8.0,23.700822452936645
0.01999999999999999,8.0,1783.1185621495845
0.009999999999999995,9.0,5.503549992981244
0.012499999999999995,9.0,5.50355083977621
0.014999999999999994,9.0,5.503548880197759
0.01999999999999999,9.0,1782.7596345164575
0.01749999999999999,9.0,13.597276476486783
0.01999999999999999,9.0,1782.7596345164575
0.009999999999999995,10.0,4.457874473152917
0.012499999999999995,10.0,4.457875099406043
0.014999999999999994,10.0,4.457876269547181
0.01999999999999999,10.0,1783.136764508506
0.01749999999999999,10.0,7.230288261341183
0.01999999999999999,10.0,1783.136764508506
