sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,z_dim,K,init_type
73.10503309897055,36.20543394598644,6,136,9316,5161,17,18400,26.094563722610474,10,5,25,1,cs
62.22187826995992,37.281754566007294,6,136,9316,5161,17,18400,23.822311878204346,10,5,25,1,heur
62.05584009487245,51.17478977801511,6,136,9316,5161,17,18400,23.879667043685913,10,5,25,1,ws
3.465405160493937,504.3731081180158,15,211,22366,11551,17,44390,71.97159147262573,10,5,25,2,cs
4.496833009770732,411.38155220099725,15,211,22366,11551,17,44390,66.84563255310059,10,5,25,2,heur
4.3651806311579975,392.0351438440266,15,211,22366,11551,17,44390,71.64710354804993,10,5,25,2,ws
4.4934894410558,1817.707829958992,30,286,41041,19191,17,81630,129.27210640907288,10,5,25,3,cs
5.1799829480368444,1677.5474683669745,30,286,41041,19191,17,81630,137.41065001487732,10,5,25,3,heur
5.646304712785316,1907.9536493360065,30,286,41041,19191,17,81630,126.63915228843689,10,5,25,3,ws
4.478929799419824,4900.067527376988,51,361,65341,28081,17,130120,223.371178150177,10,5,25,4,cs
5.074060567898378,4065.556546047039,51,361,65341,28081,17,130120,206.4084334373474,10,5,25,4,heur
5.7141646426867325,4428.938431638002,51,361,65341,28081,17,130120,206.85424423217773,10,5,25,4,ws
