sched,K,tau
silver,1,293.9658382139514
mu_silver,1,268.1864294832715
silver,2,102.49966827098551
mu_silver,2,66.74647919853876
silver,3,50.43359979365359
mu_silver,3,19.63185012425292
silver,4,50.436391901518824
mu_silver,4,8.027676943703398
silver,5,50.43609671441093
mu_silver,5,4.892396221642097
silver,6,17.304040602131572
mu_silver,6,1.0180244001672123
silver,7,8.65214480790928
mu_silver,7,0.34234440575900266
silver,8,34.61304820137989
mu_silver,8,0.19173498459205368
silver,9,50.434483966260174
mu_silver,9,0.1287992746948141
silver,10,17.30184467432144
mu_silver,10,0.022082516384930015
